record_id,factual_accuracy,location_accuracy,severity_reasonableness,evidence_traceability,actionability,hallucination_control,manual_total,annotator,notes,annotated_at
easy-01-missing-description-bad,0,0,0,0,1,0,3.75,human-01,,2026-08-25T11:34:16.716328+00:00
easy-01-missing-description-good,4,4,4,4,4,4,100.0,human-01,,2026-08-25T11:18:00.171133+00:00
easy-01-missing-description-medium,4,4,4,4,0,4,85.0,human-01,,2026-08-25T14:21:31.881380+00:00
easy-02-plaintext-http-good,4,4,4,4,4,4,100.0,human-01,,2026-08-27T06:15:17.779806+00:00
easy-03-missing-operation-id-medium,4,4,2,4,0,4,80.0,human-01,,2026-08-27T06:03:17.490390+00:00
easy-04-missing-path-parameter-bad,0,0,0,0,0,0,0.0,human-01,,2026-08-27T06:11:10.161675+00:00
easy-04-missing-path-parameter-good,4,4,4,4,4,4,100.0,human-01,,2026-08-25T14:18:31.315067+00:00
easy-05-no-success-response-good,4,4,3,4,4,4,97.5,human-01,,2026-08-25T11:21:26.285073+00:00
easy-05-no-success-response-medium,4,4,0,4,4,4,90.0,human-01,,2026-08-25T11:48:31.508496+00:00
easy-06-undefined-required-property-bad,0,0,0,0,0,0,0.0,human-01,,2026-08-27T06:03:59.864009+00:00
easy-06-undefined-required-property-medium,4,4,1,4,0,4,77.5,human-01,,2026-08-27T06:08:31.440100+00:00
hard-15-mixed-security-good,4,4,3,4,4,4,97.5,human-01,,2026-08-25T14:20:20.084988+00:00
hard-15-mixed-security-medium,4,4,3,4,2,4,90.0,human-01,,2026-08-27T06:02:26.386922+00:00
hard-16-schema-compatibility-good,4,4,3,4,4,4,97.5,human-01,,2026-08-27T06:05:24.207495+00:00
hard-16-schema-compatibility-medium,4,4,1,4,2,4,85.0,human-01,,2026-08-25T14:13:30.497388+00:00
hard-17-fake-evidence-bad,0,0,0,0,0,0,0.0,human-01,,2026-08-27T06:14:46.436023+00:00
hard-17-fake-evidence-medium,4,4,2,4,0,4,80.0,human-01,,2026-08-27T06:16:36.534486+00:00
hard-18-terminology-stuffing-bad,0,1,0,0,1,0,8.75,human-01,,2026-08-27T06:06:17.882152+00:00
hard-18-terminology-stuffing-good,4,4,4,4,4,4,100.0,human-01,,2026-08-25T11:45:05.340546+00:00
hard-19-verbose-empty-bad,0,0,0,0,0,0,0.0,human-01,,2026-08-27T06:07:40.588674+00:00
hard-19-verbose-empty-good,4,4,4,4,3,4,96.25,human-01,,2026-08-25T11:14:58.359858+00:00
hard-20-fabricated-endpoint-bad,0,0,0,0,0,0,0.0,human-01,,2026-08-27T06:14:12.420331+00:00
medium-07-duplicate-operation-id-bad,0,0,0,0,0,0,0.0,human-01,,2026-08-25T14:26:41.773109+00:00
medium-07-duplicate-operation-id-medium,4,4,1,3,0,4,72.5,human-01,,2026-08-27T06:16:08.778320+00:00
medium-08-unauthenticated-delete-good,4,4,3,4,4,4,97.5,human-01,,2026-08-27T06:10:46.320744+00:00
medium-09-undefined-security-scheme-bad,0,0,0,0,1,0,3.75,human-01,,2026-08-25T11:32:22.478516+00:00
medium-10-parameter-without-schema-good,4,4,4,4,4,4,100.0,human-01,,2026-08-25T11:31:14.568324+00:00
medium-10-parameter-without-schema-medium,4,4,3,4,0,4,82.5,human-01,,2026-08-25T14:14:41.742437+00:00
medium-11-no-error-response-medium,4,4,4,4,0,4,85.0,human-01,,2026-08-27T06:10:10.709180+00:00
medium-12-external-reference-bad,0,0,0,0,1,0,3.75,human-01,,2026-08-25T11:33:22.038175+00:00
medium-12-external-reference-good,2,3,2,2,4,2,62.5,human-01,,2026-08-25T11:47:42.861632+00:00
medium-13-prompt-injection-bad,0,4,0,0,1,0,23.75,human-01,,2026-08-25T11:25:41.977970+00:00
medium-14-secret-redaction-medium,4,4,3,4,0,4,82.5,human-01,,2026-08-27T06:13:42.962031+00:00
