record_id,scenario_id,difficulty,reference_tier,report_adversarial,human_total,hybrid_total,baseline_total,hybrid_signed_error,hybrid_absolute_error,baseline_signed_error,baseline_absolute_error,human_factual_accuracy,hybrid_factual_accuracy,baseline_factual_accuracy,human_location_accuracy,hybrid_location_accuracy,baseline_location_accuracy,human_severity_reasonableness,hybrid_severity_reasonableness,baseline_severity_reasonableness,human_evidence_traceability,hybrid_evidence_traceability,baseline_evidence_traceability,human_actionability,hybrid_actionability,baseline_actionability,human_hallucination_control,hybrid_hallucination_control,baseline_hallucination_control
easy-01-missing-description-bad,easy-01-missing-description,easy,bad,False,3.75,0.0,5.0,-3.75,3.75,1.25,1.25,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
easy-01-missing-description-good,easy-01-missing-description,easy,good,False,100.0,100.0,100.0,0.0,0.0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
easy-01-missing-description-medium,easy-01-missing-description,easy,medium,False,85.0,86.25,80.0,1.25,1.25,-5.0,5.0,4,4,4,4,4,4,4,3,2,4,4,4,0,1,0,4,4,4
easy-02-plaintext-http-good,easy-02-plaintext-http,easy,good,False,100.0,88.75,85.0,-11.25,11.25,-15.0,15.0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,4,4,4
easy-03-missing-operation-id-medium,easy-03-missing-operation-id,easy,medium,False,80.0,75.0,80.0,-5.0,5.0,0.0,0.0,4,3,4,4,4,4,2,1,2,4,4,4,0,1,0,4,4,4
easy-04-missing-path-parameter-bad,easy-04-missing-path-parameter,easy,bad,False,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
easy-04-missing-path-parameter-good,easy-04-missing-path-parameter,easy,good,False,100.0,100.0,100.0,0.0,0.0,0.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
easy-05-no-success-response-good,easy-05-no-success-response,easy,good,False,97.5,92.5,100.0,-5.0,5.0,2.5,2.5,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4
easy-05-no-success-response-medium,easy-05-no-success-response,easy,medium,False,90.0,86.25,80.0,-3.75,3.75,-10.0,10.0,4,4,4,4,4,4,0,3,2,4,4,4,4,1,0,4,4,4
easy-06-undefined-required-property-bad,easy-06-undefined-required-property,easy,bad,False,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
easy-06-undefined-required-property-medium,easy-06-undefined-required-property,easy,medium,False,77.5,86.25,80.0,8.75,8.75,2.5,2.5,4,4,4,4,4,4,1,3,2,4,4,4,0,1,0,4,4,4
hard-15-mixed-security-good,hard-15-mixed-security,hard,good,False,97.5,96.25,92.5,-1.25,1.25,-5.0,5.0,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4
hard-15-mixed-security-medium,hard-15-mixed-security,hard,medium,False,90.0,86.25,83.75,-3.75,3.75,-6.25,6.25,4,4,4,4,4,4,3,3,2,4,4,4,2,1,1,4,4,4
hard-16-schema-compatibility-good,hard-16-schema-compatibility,hard,good,False,97.5,100.0,100.0,2.5,2.5,2.5,2.5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
hard-16-schema-compatibility-medium,hard-16-schema-compatibility,hard,medium,False,85.0,86.25,83.75,1.25,1.25,-1.25,1.25,4,4,4,4,4,4,1,3,2,4,4,4,2,1,1,4,4,4
hard-17-fake-evidence-bad,hard-17-fake-evidence,hard,bad,True,0.0,13.75,25.0,13.75,13.75,25.0,25.0,0,1,0,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0
hard-17-fake-evidence-medium,hard-17-fake-evidence,hard,medium,False,80.0,80.0,80.0,0.0,0.0,0.0,0.0,4,3,4,4,4,4,2,3,2,4,4,4,0,1,0,4,4,4
hard-18-terminology-stuffing-bad,hard-18-terminology-stuffing,hard,bad,True,8.75,5.0,25.0,-3.75,3.75,16.25,16.25,0,0,0,1,1,4,0,0,2,0,0,0,1,0,0,0,0,0
hard-18-terminology-stuffing-good,hard-18-terminology-stuffing,hard,good,False,100.0,88.75,85.0,-11.25,11.25,-15.0,15.0,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,4,4,4
hard-19-verbose-empty-bad,hard-19-verbose-empty,hard,bad,True,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hard-19-verbose-empty-good,hard-19-verbose-empty,hard,good,False,96.25,92.5,100.0,-3.75,3.75,3.75,3.75,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4
hard-20-fabricated-endpoint-bad,hard-20-fabricated-endpoint,hard,bad,True,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
medium-07-duplicate-operation-id-bad,medium-07-duplicate-operation-id,medium,bad,False,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
