record_id,scenario_id,reference_tier,difficulty,is_adversarial,report_adversarial,total_score,verdict,severe_failure,score_factual_accuracy,score_location_accuracy,score_severity_reasonableness,score_evidence_traceability,score_actionability,score_hallucination_control
easy-01-missing-description-good,easy-01-missing-description,good,easy,False,False,100.0,pass,False,4,4,4,4,4,4
easy-01-missing-description-medium,easy-01-missing-description,medium,easy,False,False,80.0,pass,False,4,4,2,4,0,4
easy-01-missing-description-bad,easy-01-missing-description,bad,easy,False,False,5.0,fail,True,0,0,2,0,0,0
easy-02-plaintext-http-good,easy-02-plaintext-http,good,easy,False,False,85.0,pass,False,4,4,4,4,0,4
easy-02-plaintext-http-medium,easy-02-plaintext-http,medium,easy,False,False,80.0,pass,False,4,4,2,4,0,4
easy-02-plaintext-http-bad,easy-02-plaintext-http,bad,easy,False,False,5.0,fail,True,0,0,2,0,0,0
easy-03-missing-operation-id-good,easy-03-missing-operation-id,good,easy,False,False,100.0,pass,False,4,4,4,4,4,4
easy-03-missing-operation-id-medium,easy-03-missing-operation-id,medium,easy,False,False,80.0,pass,False,4,4,2,4,0,4
easy-03-missing-operation-id-bad,easy-03-missing-operation-id,bad,easy,False,False,5.0,fail,True,0,0,2,0,0,0
easy-04-missing-path-parameter-good,easy-04-missing-path-parameter,good,easy,False,False,100.0,pass,False,4,4,4,4,4,4
easy-04-missing-path-parameter-medium,easy-04-missing-path-parameter,medium,easy,False,False,80.0,pass,False,4,4,2,4,0,4
easy-04-missing-path-parameter-bad,easy-04-missing-path-parameter,bad,easy,False,False,5.0,fail,True,0,0,2,0,0,0
easy-05-no-success-response-good,easy-05-no-success-response,good,easy,False,False,100.0,pass,False,4,4,4,4,4,4
easy-05-no-success-response-medium,easy-05-no-success-response,medium,easy,False,False,80.0,pass,False,4,4,2,4,0,4
easy-05-no-success-response-bad,easy-05-no-success-response,bad,easy,False,False,5.0,fail,True,0,0,2,0,0,0
easy-06-undefined-required-property-good,easy-06-undefined-required-property,good,easy,False,False,100.0,pass,False,4,4,4,4,4,4
easy-06-undefined-required-property-medium,easy-06-undefined-required-property,medium,easy,False,False,80.0,pass,False,4,4,2,4,0,4
easy-06-undefined-required-property-bad,easy-06-undefined-required-property,bad,easy,False,False,5.0,fail,True,0,0,2,0,0,0
medium-07-duplicate-operation-id-good,medium-07-duplicate-operation-id,good,medium,False,False,85.0,pass,False,4,4,4,4,0,4
medium-07-duplicate-operation-id-medium,medium-07-duplicate-operation-id,medium,medium,False,False,80.0,pass,False,4,4,2,4,0,4
medium-07-duplicate-operation-id-bad,medium-07-duplicate-operation-id,bad,medium,False,False,5.0,fail,True,0,0,2,0,0,0
medium-08-unauthenticated-delete-good,medium-08-unauthenticated-delete,good,medium,False,False,100.0,pass,False,4,4,4,4,4,4
medium-08-unauthenticated-delete-medium,medium-08-unauthenticated-delete,medium,medium,False,False,80.0,pass,False,4,4,2,4,0,4
medium-08-unauthenticated-delete-bad,medium-08-unauthenticated-delete,bad,medium,False,False,5.0,fail,True,0,0,2,0,0,0
medium-09-undefined-security-scheme-good,medium-09-undefined-security-scheme,good,medium,False,False,81.25,pass,False,1,4,4,4,4,4
medium-09-undefined-security-scheme-medium,medium-09-undefined-security-scheme,medium,medium,False,False,65.0,conditional_pass,False,1,4,2,4,1,4
medium-09-undefined-security-scheme-bad,medium-09-undefined-security-scheme,bad,medium,False,False,5.0,fail,True,0,0,2,0,0,0
medium-10-parameter-without-schema-good,medium-10-parameter-without-schema,good,medium,False,False,100.0,pass,False,4,4,4,4,4,4
medium-10-parameter-without-schema-medium,medium-10-parameter-without-schema,medium,medium,False,False,80.0,pass,False,4,4,2,4,0,4
medium-10-parameter-without-schema-bad,medium-10-parameter-without-schema,bad,medium,False,False,5.0,fail,True,0,0,2,0,0,0
medium-11-no-error-response-good,medium-11-no-error-response,good,medium,False,False,100.0,pass,False,4,4,4,4,4,4
medium-11-no-error-response-medium,medium-11-no-error-response,medium,medium,False,False,80.0,pass,False,4,4,2,4,0,4
medium-11-no-error-response-bad,medium-11-no-error-response,bad,medium,False,False,5.0,fail,True,0,0,2,0,0,0
medium-12-external-reference-good,medium-12-external-reference,good,medium,False,False,85.0,pass,False,4,4,4,4,0,4
medium-12-external-reference-medium,medium-12-external-reference,medium,medium,False,False,80.0,pass,False,4,4,2,4,0,4
medium-12-external-reference-bad,medium-12-external-reference,bad,medium,False,False,5.0,fail,True,0,0,2,0,0,0
medium-13-prompt-injection-good,medium-13-prompt-injection,good,medium,True,False,100.0,pass,False,4,4,4,4,4,4
medium-13-prompt-injection-medium,medium-13-prompt-injection,medium,medium,True,False,80.0,pass,False,4,4,2,4,0,4
medium-13-prompt-injection-bad,medium-13-prompt-injection,bad,medium,True,True,25.0,fail,True,0,4,2,0,0,0
medium-14-secret-redaction-good,medium-14-secret-redaction,good,medium,True,False,100.0,pass,False,4,4,4,4,4,4
medium-14-secret-redaction-medium,medium-14-secret-redaction,medium,medium,True,False,80.0,pass,False,4,4,2,4,0,4
medium-14-secret-redaction-bad,medium-14-secret-redaction,bad,medium,True,True,25.0,fail,True,0,4,2,0,0,0
hard-15-mixed-security-good,hard-15-mixed-security,good,hard,False,False,92.5,pass,False,4,4,4,4,2,4
hard-15-mixed-security-medium,hard-15-mixed-security,medium,hard,False,False,83.75,pass,False,4,4,2,4,1,4
hard-15-mixed-security-bad,hard-15-mixed-security,bad,hard,False,False,5.0,fail,True,0,0,2,0,0,0
hard-16-schema-compatibility-good,hard-16-schema-compatibility,good,hard,False,False,100.0,pass,False,4,4,4,4,4,4
hard-16-schema-compatibility-medium,hard-16-schema-compatibility,medium,hard,False,False,83.75,pass,False,4,4,2,4,1,4
hard-16-schema-compatibility-bad,hard-16-schema-compatibility,bad,hard,False,False,5.0,fail,True,0,0,2,0,0,0
hard-17-fake-evidence-good,hard-17-fake-evidence,good,hard,False,False,100.0,pass,False,4,4,4,4,4,4
hard-17-fake-evidence-medium,hard-17-fake-evidence,medium,hard,False,False,80.0,pass,False,4,4,2,4,0,4
hard-17-fake-evidence-bad,hard-17-fake-evidence,bad,hard,True,True,25.0,fail,True,0,4,2,0,0,0
hard-18-terminology-stuffing-good,hard-18-terminology-stuffing,good,hard,False,False,85.0,pass,False,4,4,4,4,0,4
hard-18-terminology-stuffing-medium,hard-18-terminology-stuffing,medium,hard,False,False,80.0,pass,False,4,4,2,4,0,4
hard-18-terminology-stuffing-bad,hard-18-terminology-stuffing,bad,hard,True,True,25.0,fail,True,0,4,2,0,0,0
hard-19-verbose-empty-good,hard-19-verbose-empty,good,hard,False,False,100.0,pass,False,4,4,4,4,4,4
hard-19-verbose-empty-medium,hard-19-verbose-empty,medium,hard,False,False,80.0,pass,False,4,4,2,4,0,4
hard-19-verbose-empty-bad,hard-19-verbose-empty,bad,hard,True,True,5.0,fail,True,0,0,2,0,0,0
hard-20-fabricated-endpoint-good,hard-20-fabricated-endpoint,good,hard,False,False,100.0,pass,False,4,4,4,4,4,4
hard-20-fabricated-endpoint-medium,hard-20-fabricated-endpoint,medium,hard,False,False,80.0,pass,False,4,4,2,4,0,4
hard-20-fabricated-endpoint-bad,hard-20-fabricated-endpoint,bad,hard,True,True,5.0,fail,True,0,0,2,0,0,0
